name,code,timestamp,rate
Global average,FRGBLFB,2023-01-02,2146
China to Northern Europe,FRCNREU,2023-01-02,2636
Global average,FRGBLFB,2023-01-03,2159
China to Northern Europe,FRCNREU,2023-01-03,2712
Global average,FRGBLFB,2023-01-04,2169
China to Northern Europe,FRCNREU,2023-01-04,2712
Global average,FRGBLFB,2023-01-05,2170
China to Northern Europe,FRCNREU,2023-01-05,2712
Global average,FRGBLFB,2023-01-06,2186
China to Northern Europe,FRCNREU,2023-01-06,2712
Global average,FRGBLFB,2023-01-09,2185
China to Northern Europe,FRCNREU,2023-01-09,2712
Global average,FRGBLFB,2023-01-10,2245
China to Northern Europe,FRCNREU,2023-01-10,3045
Global average,FRGBLFB,2023-01-11,2246
China to Northern Europe,FRCNREU,2023-01-11,3045
Global average,FRGBLFB,2023-01-12,2256
China to Northern Europe,FRCNREU,2023-01-12,3045
Global average,FRGBLFB,2023-01-13,2257
China to Northern Europe,FRCNREU,2023-01-13,3045
Global average,FRGBLFB,2023-01-16,2160
China to Northern Europe,FRCNREU,2023-01-16,3420
Global average,FRGBLFB,2023-01-17,2171
China to Northern Europe,FRCNREU,2023-01-17,3420
Global average,FRGBLFB,2023-01-18,2172
China to Northern Europe,FRCNREU,2023-01-18,3420
Global average,FRGBLFB,2023-01-19,2173
China to Northern Europe,FRCNREU,2023-01-19,3420
Global average,FRGBLFB,2023-01-20,2213
China to Northern Europe,FRCNREU,2023-01-20,3420
Global average,FRGBLFB,2023-01-23,2216
China to Northern Europe,FRCNREU,2023-01-23,3420
Global average,FRGBLFB,2023-01-24,2212
China to Northern Europe,FRCNREU,2023-01-24,3420
Global average,FRGBLFB,2023-01-25,2211
China to Northern Europe,FRCNREU,2023-01-25,3420
Global average,FRGBLFB,2023-01-26,2217
China to Northern Europe,FRCNREU,2023-01-26,3420
Global average,FRGBLFB,2023-01-27,2214
China to Northern Europe,FRCNREU,2023-01-27,3420
Global average,FRGBLFB,2023-01-30,2133
China to Northern Europe,FRCNREU,2023-01-30,2920
Global average,FRGBLFB,2023-01-31,2133
China to Northern Europe,FRCNREU,2023-01-31,2920
Global average,FRGBLFB,2023-02-01,2020
China to Northern Europe,FRCNREU,2023-02-01,2920
Global average,FRGBLFB,2023-02-02,2025
China to Northern Europe,FRCNREU,2023-02-02,2920
Global average,FRGBLFB,2023-02-03,1997
China to Northern Europe,FRCNREU,2023-02-03,2920
Global average,FRGBLFB,2023-02-06,2000
China to Northern Europe,FRCNREU,2023-02-06,2920
Global average,FRGBLFB,2023-02-07,2008
