name,code,timestamp,rate,series,n,portname
Global average,FRGBLFB,2023-01-02,2146.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-02,2636.0,freight_rates,,
Global average,FRGBLFB,2023-01-03,2159.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-03,2712.0,freight_rates,,
Global average,FRGBLFB,2023-01-04,2169.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-04,2712.0,freight_rates,,
Global average,FRGBLFB,2023-01-05,2170.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-05,2712.0,freight_rates,,
Global average,FRGBLFB,2023-01-06,2186.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-06,2712.0,freight_rates,,
Global average,FRGBLFB,2023-01-09,2185.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-09,2712.0,freight_rates,,
Global average,FRGBLFB,2023-01-10,2245.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-10,3045.0,freight_rates,,
Global average,FRGBLFB,2023-01-11,2246.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-11,3045.0,freight_rates,,
Global average,FRGBLFB,2023-01-12,2256.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-12,3045.0,freight_rates,,
Global average,FRGBLFB,2023-01-13,2257.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-13,3045.0,freight_rates,,
Global average,FRGBLFB,2023-01-16,2160.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-16,3420.0,freight_rates,,
Global average,FRGBLFB,2023-01-17,2171.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-17,3420.0,freight_rates,,
Global average,FRGBLFB,2023-01-18,2172.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-18,3420.0,freight_rates,,
Global average,FRGBLFB,2023-01-19,2173.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-19,3420.0,freight_rates,,
Global average,FRGBLFB,2023-01-20,2213.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-20,3420.0,freight_rates,,
Global average,FRGBLFB,2023-01-23,2216.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-23,3420.0,freight_rates,,
Global average,FRGBLFB,2023-01-24,2212.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-24,3420.0,freight_rates,,
Global average,FRGBLFB,2023-01-25,2211.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-25,3420.0,freight_rates,,
Global average,FRGBLFB,2023-01-26,2217.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-26,3420.0,freight_rates,,
Global average,FRGBLFB,2023-01-27,2214.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-27,3420.0,freight_rates,,
Global average,FRGBLFB,2023-01-30,2133.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-30,2920.0,freight_rates,,
Global average,FRGBLFB,2023-01-31,2133.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-01-31,2920.0,freight_rates,,
Global average,FRGBLFB,2023-02-01,2020.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-01,2920.0,freight_rates,,
Global average,FRGBLFB,2023-02-02,2025.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-02,2920.0,freight_rates,,
Global average,FRGBLFB,2023-02-03,1997.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-03,2920.0,freight_rates,,
Global average,FRGBLFB,2023-02-06,2000.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-06,2920.0,freight_rates,,
Global average,FRGBLFB,2023-02-07,2008.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-07,2920.0,freight_rates,,
Global average,FRGBLFB,2023-02-08,2002.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-08,2920.0,freight_rates,,
Global average,FRGBLFB,2023-02-09,2001.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-09,2920.0,freight_rates,,
Global average,FRGBLFB,2023-02-10,2016.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-10,2920.0,freight_rates,,
Global average,FRGBLFB,2023-02-13,1976.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-13,2735.0,freight_rates,,
Global average,FRGBLFB,2023-02-14,1976.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-14,2735.0,freight_rates,,
Global average,FRGBLFB,2023-02-15,1995.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-15,2625.0,freight_rates,,
Global average,FRGBLFB,2023-02-16,2004.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-16,2668.0,freight_rates,,
Global average,FRGBLFB,2023-02-17,2005.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-17,2648.0,freight_rates,,
Global average,FRGBLFB,2023-02-20,2002.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-20,2622.0,freight_rates,,
Global average,FRGBLFB,2023-02-21,2050.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-21,2622.0,freight_rates,,
Global average,FRGBLFB,2023-02-22,1964.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-22,2625.0,freight_rates,,
Global average,FRGBLFB,2023-02-23,1960.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-23,2608.0,freight_rates,,
Global average,FRGBLFB,2023-02-24,1944.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-24,2608.0,freight_rates,,
Global average,FRGBLFB,2023-02-27,1947.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-27,2608.0,freight_rates,,
Global average,FRGBLFB,2023-02-28,1946.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-02-28,2608.0,freight_rates,,
Global average,FRGBLFB,2023-03-01,1874.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-01,2608.0,freight_rates,,
Global average,FRGBLFB,2023-03-02,1592.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-02,1538.0,freight_rates,,
Global average,FRGBLFB,2023-03-03,1592.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-03,1532.0,freight_rates,,
Global average,FRGBLFB,2023-03-06,1626.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-06,1531.0,freight_rates,,
Global average,FRGBLFB,2023-03-07,1558.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-07,1512.0,freight_rates,,
Global average,FRGBLFB,2023-03-08,1557.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-08,1512.0,freight_rates,,
Global average,FRGBLFB,2023-03-09,1553.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-09,1512.0,freight_rates,,
Global average,FRGBLFB,2023-03-10,1549.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-10,1512.0,freight_rates,,
Global average,FRGBLFB,2023-03-13,1546.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-13,1512.0,freight_rates,,
Global average,FRGBLFB,2023-03-14,1537.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-14,1486.0,freight_rates,,
Global average,FRGBLFB,2023-03-15,1508.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-15,1374.0,freight_rates,,
Global average,FRGBLFB,2023-03-16,1502.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-16,1374.0,freight_rates,,
Global average,FRGBLFB,2023-03-17,1505.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-17,1374.0,freight_rates,,
Global average,FRGBLFB,2023-03-20,1505.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-20,1374.0,freight_rates,,
Global average,FRGBLFB,2023-03-21,1505.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-21,1374.0,freight_rates,,
Global average,FRGBLFB,2023-03-22,1505.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-22,1374.0,freight_rates,,
Global average,FRGBLFB,2023-03-23,1505.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-23,1374.0,freight_rates,,
Global average,FRGBLFB,2023-03-24,1487.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-24,1374.0,freight_rates,,
Global average,FRGBLFB,2023-03-27,1493.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-27,1374.0,freight_rates,,
Global average,FRGBLFB,2023-03-28,1485.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-28,1349.0,freight_rates,,
Global average,FRGBLFB,2023-03-29,1485.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-29,1349.0,freight_rates,,
Global average,FRGBLFB,2023-03-30,1485.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-30,1349.0,freight_rates,,
Global average,FRGBLFB,2023-03-31,1465.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-03-31,1326.0,freight_rates,,
Global average,FRGBLFB,2023-04-03,1410.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-03,1427.0,freight_rates,,
Global average,FRGBLFB,2023-04-04,1418.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-04,1427.0,freight_rates,,
Global average,FRGBLFB,2023-04-05,1413.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-05,1427.0,freight_rates,,
Global average,FRGBLFB,2023-04-06,1406.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-06,1427.0,freight_rates,,
Global average,FRGBLFB,2023-04-07,1406.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-07,1427.0,freight_rates,,
Global average,FRGBLFB,2023-04-10,1406.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-10,1427.0,freight_rates,,
Global average,FRGBLFB,2023-04-11,1401.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-11,1429.0,freight_rates,,
Global average,FRGBLFB,2023-04-12,1399.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-12,1429.0,freight_rates,,
Global average,FRGBLFB,2023-04-13,1397.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-13,1429.0,freight_rates,,
Global average,FRGBLFB,2023-04-14,1399.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-14,1429.0,freight_rates,,
Global average,FRGBLFB,2023-04-17,1601.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-17,1410.0,freight_rates,,
Global average,FRGBLFB,2023-04-18,1600.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-18,1410.0,freight_rates,,
Global average,FRGBLFB,2023-04-19,1598.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-19,1410.0,freight_rates,,
Global average,FRGBLFB,2023-04-20,1598.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-20,1410.0,freight_rates,,
Global average,FRGBLFB,2023-04-21,1596.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-21,1410.0,freight_rates,,
Global average,FRGBLFB,2023-04-24,1595.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-24,1410.0,freight_rates,,
Global average,FRGBLFB,2023-04-25,1586.0,freight_rates,,
