ticker,cik,fiscal_year,shares_outstanding,total_assets,total_liab,deposits,equity,liab_current,longterm_debt,net_income,interest_expense
AA,1675149,2016,263909445.0,16741000000.0,9044000000.0,,5654000000.0,2821000000.0,1424000000.0,-400000000.0,243000000.0
AA,1675149,2017,263909445.0,17447000000.0,10649000000.0,,4523000000.0,3252000000.0,1388000000.0,-196000000.0,104000000.0
AA,1675149,2018,263909445.0,15938000000.0,8544000000.0,,5389000000.0,2919000000.0,1801000000.0,43000000.0,122000000.0
AA,1675149,2019,263909445.0,14631000000.0,8745000000.0,,4112000000.0,2563000000.0,1799000000.0,-303000000.0,121000000.0
AA,1675149,2020,263909445.0,14860000000.0,9844000000.0,,3311000000.0,2761000000.0,2463000000.0,-4000000.0,146000000.0
AA,1675149,2021,263909445.0,15025000000.0,8741000000.0,,4672000000.0,3223000000.0,1726000000.0,429000000.0,195000000.0
AA,1675149,2022,263909445.0,14756000000.0,8167000000.0,,5076000000.0,3004000000.0,1806000000.0,-123000000.0,106000000.0
AA,1675149,2023,263909445.0,14155000000.0,8310000000.0,,4251000000.0,3030000000.0,1732000000.0,-651000000.0,107000000.0
AA,1675149,2024,263909445.0,14064000000.0,8907000000.0,,5157000000.0,3395000000.0,2470000000.0,60000000.0,156000000.0
AA,1675149,2025,263909445.0,16129000000.0,9935000000.0,,,3801000000.0,2438000000.0,1157000000.0,158000000.0
AAMI,1748824,2019,35490128.0,1419700000.0,1221300000.0,,114500000.0,,568800000.0,74300000.0,
AAMI,1748824,2020,35490128.0,1379200000.0,994800000.0,,384400000.0,,400000000.0,286700000.0,
AAMI,1748824,2021,35490128.0,714800000.0,732400000.0,,-17600000.0,,400000000.0,828400000.0,
AAMI,1748824,2022,35490128.0,518700000.0,540300000.0,,-21600000.0,,275000000.0,100600000.0,
AAMI,1748824,2023,35490128.0,611400000.0,561900000.0,,40200000.0,,275000000.0,65800000.0,
AAMI,1748824,2024,35490128.0,703200000.0,616100000.0,,,,275000000.0,85000000.0,
AAMI,1748824,2025,35490128.0,677000000.0,593000000.0,,,,200000000.0,80000000.0,
AAP,1158449,2015,60400000.0,8134565000.0,,,2460648000.0,3797477000.0,1213161000.0,54819000.0,65408000.0
AAP,1158449,2016,60400000.0,8315033000.0,,,2916192000.0,3676046000.0,1042949000.0,62365000.0,
AAP,1158449,2017,60400000.0,8482301000.0,,,3415196000.0,3480097000.0,1044327000.0,184500000.0,
AAP,1158449,2018,60400000.0,9040648000.0,,,3550813000.0,3885950000.0,1045720000.0,53441000.0,
AAP,1158449,2019,60400000.0,11248525000.0,,,3549081000.0,4477702000.0,747320000.0,95907000.0,
AAP,1158449,2020,60400000.0,11839636000.0,,,3559512000.0,4743915000.0,1032984000.0,111996000.0,
AAP,1158449,2021,60400000.0,12194209000.0,9065918000.0,,3128291000.0,5180307000.0,1034320000.0,616108000.0,
AAP,1158449,2022,60400000.0,12018482000.0,9340201000.0,,2678281000.0,5370389000.0,1188283000.0,501872000.0,
AAP,1158449,2023,60400000.0,12276326000.0,9756598000.0,,2519728000.0,5307405000.0,1786361000.0,29735000.0,
AAP,1158449,2024,60400000.0,10798109000.0,8628167000.0,,2169942000.0,4665357000.0,1789161000.0,-335788000.0,
AAP,1158449,2026,60400000.0,11826000000.0,9628000000.0,,2198000000.0,4176000000.0,3412000000.0,44000000.0,
AAPL,320193,2015,14594180000.0,290479000000.0,171124000000.0,,119355000000.0,80610000000.0,53463000000.0,11124000000.0,733000000.0
AAPL,320193,2016,14594180000.0,321686000000.0,193437000000.0,,128249000000.0,79006000000.0,75427000000.0,9014000000.0,1456000000.0
AAPL,320193,2017,14594180000.0,375319000000.0,241272000000.0,,134047000000.0,100814000000.0,97207000000.0,10714000000.0,2323000000.0
AAPL,320193,2018,14594180000.0,365725000000.0,258578000000.0,,107147000000.0,116866000000.0,93735000000.0,14125000000.0,3240000000.0
AAPL,320193,2019,14594180000.0,338516000000.0,248028000000.0,,90488000000.0,105718000000.0,91807000000.0,13686000000.0,3576000000.0
AAPL,320193,2020,14594180000.0,323888000000.0,258549000000.0,,65339000000.0,105392000000.0,98667000000.0,12673000000.0,2873000000.0
AAPL,320193,2021,14594180000.0,351002000000.0,287912000000.0,,63090000000.0,125481000000.0,109106000000.0,94680000000.0,2645000000.0
AAPL,320193,2022,14594180000.0,352755000000.0,302083000000.0,,50672000000.0,153982000000.0,98959000000.0,99803000000.0,2931000000.0
AAPL,320193,2023,14594180000.0,352583000000.0,290437000000.0,,62146000000.0,145308000000.0,95281000000.0,96995000000.0,3933000000.0
AAPL,320193,2024,14594180000.0,364980000000.0,308030000000.0,,56950000000.0,176392000000.0,85750000000.0,93736000000.0,
AAPL,320193,2025,14594180000.0,359241000000.0,285508000000.0,,73733000000.0,165631000000.0,78328000000.0,112010000000.0,
ABCB,351569,2015,67107239.0,5588940000.0,5074181000.0,4879290000.0,514759000.0,,,14148000.0,3983000.0
ABCB,351569,2016,67107239.0,6892031000.0,6245594000.0,5575163000.0,646437000.0,,,18177000.0,5677000.0
ABCB,351569,2017,67107239.0,7856203000.0,7051724000.0,6625845000.0,804479000.0,,,9150000.0,10041000.0
ABCB,351569,2018,67107239.0,11443515000.0,9987168000.0,9649313000.0,1456347000.0,,,43536000.0,23195000.0
ABCB,351569,2019,67107239.0,18242579000.0,15772997000.0,14027073000.0,2469582000.0,,,61248000.0,38725000.0
ABCB,351569,2020,67107239.0,20438638000.0,17791550000.0,16957823000.0,2647088000.0,,,94285000.0,15327000.0
ABCB,351569,2021,67107239.0,23858321000.0,20891870000.0,19665553000.0,2966451000.0,,,376913000.0,47785000.0
ABCB,351569,2022,67107239.0,25053286000.0,21855886000.0,19462738000.0,3197400000.0,,,346540000.0,92860000.0
ABCB,351569,2023,67107239.0,25203699000.0,21776952000.0,20708509000.0,3426747000.0,,,269105000.0,445391000.0
ABCB,351569,2024,67107239.0,26262050000.0,22510528000.0,21722448000.0,3751522000.0,,,358685000.0,
ABCB,351569,2025,67107239.0,27515879000.0,23439851000.0,22375995000.0,4076028000.0,,,412154000.0,
ABR,1253986,2015,186558043.0,1827391944.0,1262301169.0,,,,,6910656.0,49720132.0
ABR,1253986,2016,186558043.0,2970786246.0,2223748318.0,,587140735.0,,2068148223.0,,63622771.0
ABR,1253986,2017,186558043.0,3625945000.0,2761389000.0,,695825000.0,,2595658000.0,,90072000.0
ABR,1253986,2018,186558043.0,4612175000.0,3546609000.0,,895238000.0,,3367052000.0,,153818000.0
ABR,1253986,2019,186558043.0,6239160000.0,4883133000.0,,1184610000.0,,4678863000.0,,186399000.0
ABR,1253986,2020,186558043.0,7660986000.0,6178301000.0,,1344371000.0,,5874451000.0,,169216000.0
ABR,1253986,2021,186558043.0,15073845000.0,12523861000.0,,2418122000.0,,12132490000.0,,212005000.0
ABR,1253986,2022,186558043.0,17038985000.0,13967106000.0,,2936996000.0,,,,557617000.0
ABR,1253986,2023,186558043.0,15738636000.0,12484031000.0,,3117973000.0,,11986059000.0,,903228000.0
ABR,1253986,2024,186558043.0,13490981000.0,10339011000.0,,3024085000.0,,9962109000.0,,
ABR,1253986,2025,186558043.0,14494903000.0,11427750000.0,,2953353000.0,,11074794000.0,,
ACCL,2038378,2025,12500000.0,3909876.0,1722992.0,500000.0,2186884.0,1575405.0,,1021725.0,
ACGL,947484,2015,341229126.0,23177270000.0,16028376000.0,,6204881000.0,,,537738000.0,45874000.0
ACGL,947484,2016,341229126.0,29372109000.0,20060984000.0,,8253718000.0,,,692738000.0,66252000.0
ACGL,947484,2017,341229126.0,32051658000.0,21805723000.0,,9196602000.0,,,619278000.0,117431000.0
ACGL,947484,2018,341229126.0,32218329000.0,21780650000.0,,9439827000.0,,,757971000.0,120484000.0
ACGL,947484,2019,341229126.0,37885361000.0,25569809000.0,,11497371000.0,,,1636319000.0,120872000.0
ACGL,947484,2020,341229126.0,45100945000.0,31545816000.0,,13545896000.0,,,2156849000.0,139470000.0
ACGL,947484,2022,341229126.0,47990507000.0,35069605000.0,,12910073000.0,,,1476933000.0,130266000.0
ACGL,947484,2023,341229126.0,58906000000.0,40551000000.0,,18353000000.0,,,4443000000.0,133000000.0
ACGL,947484,2024,341229126.0,70906000000.0,50086000000.0,,20820000000.0,,,4312000000.0,141000000.0
ACGL,947484,2025,341229126.0,79241000000.0,55035000000.0,,24206000000.0,,,4399000000.0,148000000.0
ACNT,95953,2015,9009453.0,149021417.0,,,95154294.0,26634718.0,23545801.0,-18968000.0,1232285.0
ACNT,95953,2016,9009453.0,138638063.0,,,88592555.0,32771942.0,8804206.0,-1435000.0,932572.0
